delay,training steps,traffic intensity,tm
3.851,10K,100%,1000_48
3.828,10K,100%,1000_49
3.624,10K,100%,1000_50
3.887,10K,100%,1000_51
3.736,10K,100%,1000_52
4.632,10K,100%,1000_53
4.256,10K,100%,1000_54
4.084,10K,100%,1000_55
4.648,10K,100%,1000_56
3.793,10K,100%,1000_57
3.778,10K,100%,1000_58
3.684,10K,100%,1000_59
3.621,10K,100%,1000_60
5.974,10K,100%,1000_61
3.317,10K,100%,1000_62
4.072,10K,100%,1000_63
3.924,10K,100%,1000_64
3.893,10K,100%,1000_65
5.648,10K,100%,1000_66
4.047,10K,100%,1000_67
3.192,10K,100%,1000_68
5.451,10K,100%,1000_69
3.83,10K,100%,1000_70
3.258,10K,100%,1000_71
2.617,10K,100%,1000_72
3.687,10K,100%,1000_73
4.231,10K,100%,1000_74
3.156,10K,100%,1000_75
3.157,10K,100%,1000_76
2.851,10K,100%,1000_77
3.863,10K,100%,1000_78
3.117,10K,100%,1000_79
4.401,10K,100%,1000_80
2.376,10K,100%,1000_81
4.225,10K,100%,1000_82
3.554,10K,100%,1000_83
3.166,10K,100%,1000_84
3.44,10K,100%,1000_85
4.524,10K,100%,1000_86
3.695,10K,100%,1000_87
4.468,10K,100%,1000_88
5.971,10K,100%,1000_89
4.549,10K,100%,1000_90
5.054,10K,100%,1000_91
3.603,10K,100%,1000_92
4.528,10K,100%,1000_93
5.03,10K,100%,1000_94
3.983,10K,100%,1000_95
3.871,10K,100%,1000_96
4.042,10K,100%,1000_97
5.809,10K,100%,1000_98
11.468,10K,100%,1000_99
5.033,10K,112.5%,1125_0
4.5,10K,112.5%,1125_1
4.197,10K,112.5%,1125_2
4.594,10K,112.5%,1125_3
3.772,10K,112.5%,1125_4
3.979,10K,112.5%,1125_5
3.693,10K,112.5%,1125_6
4.603,10K,112.5%,1125_7
3.531,10K,112.5%,1125_8
4.758,10K,112.5%,1125_9
8.41,10K,112.5%,1125_10
4.025,10K,112.5%,1125_11
2.759,10K,112.5%,1125_12
14.734,10K,112.5%,1125_13
4.542,10K,112.5%,1125_14
3.623,10K,112.5%,1125_15
3.889,10K,112.5%,1125_16
3.717,10K,112.5%,1125_17
6.705,10K,112.5%,1125_18
4.362,10K,112.5%,1125_19
3.72,10K,112.5%,1125_20
4.19,10K,112.5%,1125_21
4.187,10K,112.5%,1125_22
4.419,10K,112.5%,1125_23
4.256,10K,112.5%,1125_24
4.196,10K,112.5%,1125_25
2.904,10K,112.5%,1125_26
6.615,10K,112.5%,1125_27
3.7,10K,112.5%,1125_28
5.302,10K,112.5%,1125_29
3.592,10K,112.5%,1125_30
4.862,10K,112.5%,1125_31
4.087,10K,112.5%,1125_32
3.317,10K,112.5%,1125_33
6.168,10K,112.5%,1125_34
3.444,10K,112.5%,1125_35
3.164,10K,112.5%,1125_36
4.163,10K,112.5%,1125_37
5.069,10K,112.5%,1125_38
3.927,10K,112.5%,1125_39
4.301,10K,112.5%,1125_40
4.831,10K,112.5%,1125_41
4.433,10K,112.5%,1125_42
4.653,10K,112.5%,1125_43
3.492,10K,112.5%,1125_44
4.501,10K,112.5%,1125_45
4.035,10K,112.5%,1125_46
4.008,10K,112.5%,1125_47
4.18,10K,112.5%,1125_48
5.967,10K,112.5%,1125_49
5.349,10K,112.5%,1125_50
5.446,10K,112.5%,1125_51
3.731,10K,112.5%,1125_52
4.669,10K,112.5%,1125_53
3.309,10K,112.5%,1125_54
8.768,10K,112.5%,1125_55
4.423,10K,112.5%,1125_56
5.781,10K,112.5%,1125_57
4.434,10K,112.5%,1125_58
4.008,10K,112.5%,1125_59
4.622,10K,112.5%,1125_60
4.2,10K,112.5%,1125_61
4.479,10K,112.5%,1125_62
4.779,10K,112.5%,1125_63
5.586,10K,112.5%,1125_64
4.568,10K,112.5%,1125_65
5.178,10K,112.5%,1125_66
4.377,10K,112.5%,1125_67
4.872,10K,112.5%,1125_68
3.881,10K,112.5%,1125_69
4.786,10K,112.5%,1125_70
3.239,10K,112.5%,1125_71
4.943,10K,112.5%,1125_72
4.137,10K,112.5%,1125_73
4.415,10K,112.5%,1125_74
4.513,10K,112.5%,1125_75
4.131,10K,112.5%,1125_76
4.042,10K,112.5%,1125_77
5.807,10K,112.5%,1125_78
3.597,10K,112.5%,1125_79
5.595,10K,112.5%,1125_80
6.351,10K,112.5%,1125_81
4.316,10K,112.5%,1125_82
5.676,10K,112.5%,1125_83
4.313,10K,112.5%,1125_84
4.289,10K,112.5%,1125_85
6.466,10K,112.5%,1125_86
4.712,10K,112.5%,1125_87
9.805,10K,112.5%,1125_88
6.216,10K,112.5%,1125_89
4.342,10K,112.5%,1125_90
4.017,10K,112.5%,1125_91
4.54,10K,112.5%,1125_92
4.033,10K,112.5%,1125_93
3.953,10K,112.5%,1125_94
3.876,10K,112.5%,1125_95
4.675,10K,112.5%,1125_96
4.633,10K,112.5%,1125_97
4.723,10K,112.5%,1125_98
5.574,10K,112.5%,1125_99
4.271,10K,125%,1250_0
4.292,10K,125%,1250_1
3.841,10K,125%,1250_2
4.108,10K,125%,1250_3
5.382,10K,125%,1250_4
5.131,10K,125%,1250_5
4.165,10K,125%,1250_6
5.359,10K,125%,1250_7
6.42,10K,125%,1250_8
5.397,10K,125%,1250_9
5.695,10K,125%,1250_10
4.921,10K,125%,1250_11
3.268,10K,125%,1250_12
3.699,10K,125%,1250_13
4.696,10K,125%,1250_14
5.462,10K,125%,1250_15
4.192,10K,125%,1250_16
5.602,10K,125%,1250_17
8.882,10K,125%,1250_18
4.63,10K,125%,1250_19
5.133,10K,125%,1250_20
3.414,10K,125%,1250_21
5.555,10K,125%,1250_22
5.515,10K,125%,1250_23
4.176,10K,125%,1250_24
4.721,10K,125%,1250_25
9.074,10K,125%,1250_26
5.369,10K,125%,1250_27
5.681,10K,125%,1250_28
4.62,10K,125%,1250_29
3.786,10K,125%,1250_30
5.684,10K,125%,1250_31
8.641,10K,125%,1250_32
4.924,10K,125%,1250_33
5.043,10K,125%,1250_34
4.653,10K,125%,1250_35
5.154,10K,125%,1250_36
4.517,10K,125%,1250_37
3.981,10K,125%,1250_38
3.437,10K,125%,1250_39
4.205,10K,125%,1250_40
4.815,10K,125%,1250_41
4.754,10K,125%,1250_42
14.585,10K,125%,1250_43
4.417,10K,125%,1250_44
4.917,10K,125%,1250_45
4.453,10K,125%,1250_46
5.43,10K,125%,1250_47
5.028,10K,125%,1250_48
5.17,10K,125%,1250_49
4.855,10K,125%,1250_50
4.224,10K,125%,1250_51
4.861,10K,125%,1250_52
4.234,10K,125%,1250_53
4.003,10K,125%,1250_54
4.446,10K,125%,1250_55
5.7,10K,125%,1250_56
4.022,10K,125%,1250_57
4.961,10K,125%,1250_58
4.607,10K,125%,1250_59
4.521,10K,125%,1250_60
5.617,10K,125%,1250_61
4.538,10K,125%,1250_62
4.871,10K,125%,1250_63
4.844,10K,125%,1250_64
3.191,10K,125%,1250_65
2.914,10K,125%,1250_66
10.435,10K,125%,1250_67
3.462,10K,125%,1250_68
4.422,10K,125%,1250_69
4.125,10K,125%,1250_70
3.778,10K,125%,1250_71
6.535,10K,125%,1250_72
5.32,10K,125%,1250_73
5.546,10K,125%,1250_74
5.221,10K,125%,1250_75
4.283,10K,125%,1250_76
3.3,10K,125%,1250_77
4.774,10K,125%,1250_78
5.031,10K,125%,1250_79
4.476,10K,125%,1250_80
5.405,10K,125%,1250_81
4.551,10K,125%,1250_82
5.102,10K,125%,1250_83
5.464,10K,125%,1250_84
4.128,10K,125%,1250_85
6.629,10K,125%,1250_86
4.066,10K,125%,1250_87
3.481,10K,125%,1250_88
4.513,10K,125%,1250_89
9.797,10K,125%,1250_90
4.36,10K,125%,1250_91
5.446,10K,125%,1250_92
4.133,10K,125%,1250_93
4.304,10K,125%,1250_94
4.591,10K,125%,1250_95
3.826,10K,125%,1250_96
4.919,10K,125%,1250_97
5.351,10K,125%,1250_98
5.191,10K,125%,1250_99
0.316,20K,12.5%,125_0
0.33,20K,12.5%,125_1
0.311,20K,12.5%,125_2
0.338,20K,12.5%,125_3
0.319,20K,12.5%,125_4
0.304,20K,12.5%,125_5
0.312,20K,12.5%,125_6
0.32,20K,12.5%,125_7
0.382,20K,12.5%,125_8
0.318,20K,12.5%,125_9
0.39,20K,12.5%,125_10
0.327,20K,12.5%,125_11
0.33,20K,12.5%,125_12
0.339,20K,12.5%,125_13
0.339,20K,12.5%,125_14
0.327,20K,12.5%,125_15
0.319,20K,12.5%,125_16
0.341,20K,12.5%,125_17
0.353,20K,12.5%,125_18
0.331,20K,12.5%,125_19
0.325,20K,12.5%,125_20
0.319,20K,12.5%,125_21
0.439,20K,12.5%,125_22
0.317,20K,12.5%,125_23
0.318,20K,12.5%,125_24
0.379,20K,12.5%,125_25
0.427,20K,12.5%,125_26
0.313,20K,12.5%,125_27
0.336,20K,12.5%,125_28
0.323,20K,12.5%,125_29
0.337,20K,12.5%,125_30
0.306,20K,12.5%,125_31
0.348,20K,12.5%,125_32
0.317,20K,12.5%,125_33
0.334,20K,12.5%,125_34
0.343,20K,12.5%,125_35
0.319,20K,12.5%,125_36
0.303,20K,12.5%,125_37
0.332,20K,12.5%,125_38
0.326,20K,12.5%,125_39
0.305,20K,12.5%,125_40
0.324,20K,12.5%,125_41
0.329,20K,12.5%,125_42
0.3,20K,12.5%,125_43
0.336,20K,12.5%,125_44
0.335,20K,12.5%,125_45
0.301,20K,12.5%,125_46
0.32,20K,12.5%,125_47
0.366,20K,12.5%,125_48
0.335,20K,12.5%,125_49
0.346,20K,12.5%,125_50
0.318,20K,12.5%,125_51
0.309,20K,12.5%,125_52
0.317,20K,12.5%,125_53
0.332,20K,12.5%,125_54
0.46,20K,12.5%,125_55
0.304,20K,12.5%,125_56
0.307,20K,12.5%,125_57
0.332,20K,12.5%,125_58
0.366,20K,12.5%,125_59
0.307,20K,12.5%,125_60
0.362,20K,12.5%,125_61
0.324,20K,12.5%,125_62
0.324,20K,12.5%,125_63
0.333,20K,12.5%,125_64
0.359,20K,12.5%,125_65
0.339,20K,12.5%,125_66
0.302,20K,12.5%,125_67
0.307,20K,12.5%,125_68
0.319,20K,12.5%,125_69
0.322,20K,12.5%,125_70
0.308,20K,12.5%,125_71
0.325,20K,12.5%,125_72
0.32,20K,12.5%,125_73
0.308,20K,12.5%,125_74
0.33,20K,12.5%,125_75
0.316,20K,12.5%,125_76
0.309,20K,12.5%,125_77
0.328,20K,12.5%,125_78
0.328,20K,12.5%,125_79
0.331,20K,12.5%,125_80
0.311,20K,12.5%,125_81
0.324,20K,12.5%,125_82
0.331,20K,12.5%,125_83
0.329,20K,12.5%,125_84
0.322,20K,12.5%,125_85
0.323,20K,12.5%,125_86
0.327,20K,12.5%,125_87
0.345,20K,12.5%,125_88
0.35,20K,12.5%,125_89
0.569,20K,12.5%,125_90
0.367,20K,12.5%,125_91
0.31,20K,12.5%,125_92
0.307,20K,12.5%,125_93
0.345,20K,12.5%,125_94
0.345,20K,12.5%,125_95
0.324,20K,12.5%,125_96
0.316,20K,12.5%,125_97
0.327,20K,12.5%,125_98
0.345,20K,12.5%,125_99
0.705,20K,25%,250_0
0.778,20K,25%,250_1
0.577,20K,25%,250_2
0.549,20K,25%,250_3
0.543,20K,25%,250_4
0.873,20K,25%,250_5
0.596,20K,25%,250_6
0.502,20K,25%,250_7
0.562,20K,25%,250_8
0.943,20K,25%,250_9
0.469,20K,25%,250_10
0.508,20K,25%,250_11
0.823,20K,25%,250_12
1.182,20K,25%,250_13
0.851,20K,25%,250_14
0.602,20K,25%,250_15
0.725,20K,25%,250_16
0.771,20K,25%,250_17
0.541,20K,25%,250_18
0.475,20K,25%,250_19
0.427,20K,25%,250_20
0.479,20K,25%,250_21
0.452,20K,25%,250_22
0.795,20K,25%,250_23
0.714,20K,25%,250_24
0.437,20K,25%,250_25
0.724,20K,25%,250_26
0.692,20K,25%,250_27
0.565,20K,25%,250_28
0.406,20K,25%,250_29
0.778,20K,25%,250_30
0.558,20K,25%,250_31
0.399,20K,25%,250_32
0.812,20K,25%,250_33
0.538,20K,25%,250_34
0.786,20K,25%,250_35
0.764,20K,25%,250_36
0.848,20K,25%,250_37
1.151,20K,25%,250_38
0.572,20K,25%,250_39
0.994,20K,25%,250_40
0.444,20K,25%,250_41
0.724,20K,25%,250_42
0.473,20K,25%,250_43
0.584,20K,25%,250_44
0.457,20K,25%,250_45
1.034,20K,25%,250_46
0.718,20K,25%,250_47
0.447,20K,25%,250_48
0.553,20K,25%,250_49
0.945,20K,25%,250_50
0.843,20K,25%,250_51
0.749,20K,25%,250_52
0.842,20K,25%,250_53
0.523,20K,25%,250_54
0.685,20K,25%,250_55
0.496,20K,25%,250_56
0.427,20K,25%,250_57
0.49,20K,25%,250_58
0.51,20K,25%,250_59
0.44,20K,25%,250_60
0.502,20K,25%,250_61
0.666,20K,25%,250_62
0.753,20K,25%,250_63
0.565,20K,25%,250_64
0.838,20K,25%,250_65
0.746,20K,25%,250_66
0.454,20K,25%,250_67
1.279,20K,25%,250_68
0.966,20K,25%,250_69
1.243,20K,25%,250_70
0.674,20K,25%,250_71
0.452,20K,25%,250_72
0.886,20K,25%,250_73
1.23,20K,25%,250_74
0.77,20K,25%,250_75
0.797,20K,25%,250_76
0.532,20K,25%,250_77
0.718,20K,25%,250_78
0.658,20K,25%,250_79
0.659,20K,25%,250_80
0.508,20K,25%,250_81
0.419,20K,25%,250_82
0.436,20K,25%,250_83
0.722,20K,25%,250_84
0.401,20K,25%,250_85
0.44,20K,25%,250_86
0.562,20K,25%,250_87
0.482,20K,25%,250_88
0.738,20K,25%,250_89
1.12,20K,25%,250_90
0.475,20K,25%,250_91
0.486,20K,25%,250_92
0.514,20K,25%,250_93
0.549,20K,25%,250_94
0.749,20K,25%,250_95
1.922,20K,25%,250_96
0.556,20K,25%,250_97
0.511,20K,25%,250_98
0.631,20K,25%,250_99
1.335,20K,37.5%,375_0
1.443,20K,37.5%,375_1
1.223,20K,37.5%,375_2
0.939,20K,37.5%,375_3
1.125,20K,37.5%,375_4
0.731,20K,37.5%,375_5
1.238,20K,37.5%,375_6
1.986,20K,37.5%,375_7
1.272,20K,37.5%,375_8
1.449,20K,37.5%,375_9
1.376,20K,37.5%,375_10
0.999,20K,37.5%,375_11
1.234,20K,37.5%,375_12
1.45,20K,37.5%,375_13
1.031,20K,37.5%,375_14
1.172,20K,37.5%,375_15
1.283,20K,37.5%,375_16
1.414,20K,37.5%,375_17
4.218,20K,37.5%,375_18
1.418,20K,37.5%,375_19
1.35,20K,37.5%,375_20
1.468,20K,37.5%,375_21
1.488,20K,37.5%,375_22
1.427,20K,37.5%,375_23
1.18,20K,37.5%,375_24
1.339,20K,37.5%,375_25
2.534,20K,37.5%,375_26
1.254,20K,37.5%,375_27
1.565,20K,37.5%,375_28
1.558,20K,37.5%,375_29
2.396,20K,37.5%,375_30
1.334,20K,37.5%,375_31
1.239,20K,37.5%,375_32
0.737,20K,37.5%,375_33
1.169,20K,37.5%,375_34
1.047,20K,37.5%,375_35
1.62,20K,37.5%,375_36
2.179,20K,37.5%,375_37
1.267,20K,37.5%,375_38
1.396,20K,37.5%,375_39
1.67,20K,37.5%,375_40
0.637,20K,37.5%,375_41
1.238,20K,37.5%,375_42
1.238,20K,37.5%,375_43
1.62,20K,37.5%,375_44
1.79,20K,37.5%,375_45
1.369,20K,37.5%,375_46
1.651,20K,37.5%,375_47
1.122,20K,37.5%,375_48
0.82,20K,37.5%,375_49
1.13,20K,37.5%,375_50
0.995,20K,37.5%,375_51
1.337,20K,37.5%,375_52
1.489,20K,37.5%,375_53
1.138,20K,37.5%,375_54
1.714,20K,37.5%,375_55
1.921,20K,37.5%,375_56
1.147,20K,37.5%,375_57
1.558,20K,37.5%,375_58
1.285,20K,37.5%,375_59
1.599,20K,37.5%,375_60
1.088,20K,37.5%,375_61
1.476,20K,37.5%,375_62
1.097,20K,37.5%,375_63
1.439,20K,37.5%,375_64
0.955,20K,37.5%,375_65
1.156,20K,37.5%,375_66
1.028,20K,37.5%,375_67
3.036,20K,37.5%,375_68
1.208,20K,37.5%,375_69
1.041,20K,37.5%,375_70
0.978,20K,37.5%,375_71
1.104,20K,37.5%,375_72
1.275,20K,37.5%,375_73
1.316,20K,37.5%,375_74
1.173,20K,37.5%,375_75
1.021,20K,37.5%,375_76
2.234,20K,37.5%,375_77
1.441,20K,37.5%,375_78
1.607,20K,37.5%,375_79
1.017,20K,37.5%,375_80
3.252,20K,37.5%,375_81
1.186,20K,37.5%,375_82
1.158,20K,37.5%,375_83
0.858,20K,37.5%,375_84
0.631,20K,37.5%,375_85
0.963,20K,37.5%,375_86
1.509,20K,37.5%,375_87
0.871,20K,37.5%,375_88
1.296,20K,37.5%,375_89
1.519,20K,37.5%,375_90
1.643,20K,37.5%,375_91
1.328,20K,37.5%,375_92
1.769,20K,37.5%,375_93
3.167,20K,37.5%,375_94
1.077,20K,37.5%,375_95
1.16,20K,37.5%,375_96
1.491,20K,37.5%,375_97
1.512,20K,37.5%,375_98
1.367,20K,37.5%,375_99
2.043,20K,50%,500_0
1.656,20K,50%,500_1
1.626,20K,50%,500_2
1.389,20K,50%,500_3
1.575,20K,50%,500_4
2.491,20K,50%,500_5
2.517,20K,50%,500_6
1.727,20K,50%,500_7
1.916,20K,50%,500_8
1.823,20K,50%,500_9
2.088,20K,50%,500_10
2.262,20K,50%,500_11
3.1,20K,50%,500_12
1.822,20K,50%,500_13
2.212,20K,50%,500_14
1.546,20K,50%,500_15
1.478,20K,50%,500_16
2.219,20K,50%,500_17
1.957,20K,50%,500_18
6.765,20K,50%,500_19
1.699,20K,50%,500_20
1.271,20K,50%,500_21
1.816,20K,50%,500_22
2.243,20K,50%,500_23
1.894,20K,50%,500_24
2.92,20K,50%,500_25
1.662,20K,50%,500_26
2.183,20K,50%,500_27
3.544,20K,50%,500_28
2.782,20K,50%,500_29
2.254,20K,50%,500_30
2.345,20K,50%,500_31
2.145,20K,50%,500_32
1.613,20K,50%,500_33
3.247,20K,50%,500_34
2.298,20K,50%,500_35
1.681,20K,50%,500_36
2.62,20K,50%,500_37
2.494,20K,50%,500_38
1.738,20K,50%,500_39
2.222,20K,50%,500_40
3.096,20K,50%,500_41
2.191,20K,50%,500_42
2.068,20K,50%,500_43
1.599,20K,50%,500_44
2.595,20K,50%,500_45
1.954,20K,50%,500_46
1.851,20K,50%,500_47
1.802,20K,50%,500_48
1.257,20K,50%,500_49
1.907,20K,50%,500_50
1.488,20K,50%,500_51
2.388,20K,50%,500_52
2.201,20K,50%,500_53
1.42,20K,50%,500_54
2.269,20K,50%,500_55
1.749,20K,50%,500_56
1.195,20K,50%,500_57
1.458,20K,50%,500_58
1.964,20K,50%,500_59
2.361,20K,50%,500_60
2.001,20K,50%,500_61
1.531,20K,50%,500_62
2.109,20K,50%,500_63
1.765,20K,50%,500_64
1.826,20K,50%,500_65
2.913,20K,50%,500_66
2.157,20K,50%,500_67
1.982,20K,50%,500_68
2.055,20K,50%,500_69
1.88,20K,50%,500_70
1.775,20K,50%,500_71
1.981,20K,50%,500_72
1.911,20K,50%,500_73
2.101,20K,50%,500_74
2.031,20K,50%,500_75
2.278,20K,50%,500_76
1.752,20K,50%,500_77
2.322,20K,50%,500_78
2.67,20K,50%,500_79
2.115,20K,50%,500_80
1.287,20K,50%,500_81
2.809,20K,50%,500_82
2.143,20K,50%,500_83
2.215,20K,50%,500_84
2.278,20K,50%,500_85
1.615,20K,50%,500_86
2.378,20K,50%,500_87
1.88,20K,50%,500_88
1.759,20K,50%,500_89
1.895,20K,50%,500_90
1.81,20K,50%,500_91
2.376,20K,50%,500_92
1.545,20K,50%,500_93
1.636,20K,50%,500_94
1.648,20K,50%,500_95
2.304,20K,50%,500_96
2.13,20K,50%,500_97
1.803,20K,50%,500_98
2.157,20K,50%,500_99
2.913,20K,62.5%,625_0
2.51,20K,62.5%,625_1
3.683,20K,62.5%,625_2
1.955,20K,62.5%,625_3
3.025,20K,62.5%,625_4
2.592,20K,62.5%,625_5
2.199,20K,62.5%,625_6
2.263,20K,62.5%,625_7
2.625,20K,62.5%,625_8
2.587,20K,62.5%,625_9
2.292,20K,62.5%,625_10
2.052,20K,62.5%,625_11
2.083,20K,62.5%,625_12
2.274,20K,62.5%,625_13
3.167,20K,62.5%,625_14
3.456,20K,62.5%,625_15
3.01,20K,62.5%,625_16
3.538,20K,62.5%,625_17
2.956,20K,62.5%,625_18
2.437,20K,62.5%,625_19
3.119,20K,62.5%,625_20
3.091,20K,62.5%,625_21
3.454,20K,62.5%,625_22
2.136,20K,62.5%,625_23
2.443,20K,62.5%,625_24
2.974,20K,62.5%,625_25
3.22,20K,62.5%,625_26
2.397,20K,62.5%,625_27
2.002,20K,62.5%,625_28
2.668,20K,62.5%,625_29
1.399,20K,62.5%,625_30
4.427,20K,62.5%,625_31
2.509,20K,62.5%,625_32
2.42,20K,62.5%,625_33
2.47,20K,62.5%,625_34
2.771,20K,62.5%,625_35
2.534,20K,62.5%,625_36
2.365,20K,62.5%,625_37
2.642,20K,62.5%,625_38
2.814,20K,62.5%,625_39
2.687,20K,62.5%,625_40
3.15,20K,62.5%,625_41
2.732,20K,62.5%,625_42
2.85,20K,62.5%,625_43
3.069,20K,62.5%,625_44
3.641,20K,62.5%,625_45
2.784,20K,62.5%,625_46
2.55,20K,62.5%,625_47
4.966,20K,62.5%,625_48
2.952,20K,62.5%,625_49
3.339,20K,62.5%,625_50
3.854,20K,62.5%,625_51
3.017,20K,62.5%,625_52
1.846,20K,62.5%,625_53
4.012,20K,62.5%,625_54
2.261,20K,62.5%,625_55
2.294,20K,62.5%,625_56
2.423,20K,62.5%,625_57
2.162,20K,62.5%,625_58
2.793,20K,62.5%,625_59
3.432,20K,62.5%,625_60
2.486,20K,62.5%,625_61
3.071,20K,62.5%,625_62
2.856,20K,62.5%,625_63
2.64,20K,62.5%,625_64
3.131,20K,62.5%,625_65
2.829,20K,62.5%,625_66
2.543,20K,62.5%,625_67
2.408,20K,62.5%,625_68
1.891,20K,62.5%,625_69
2.507,20K,62.5%,625_70
2.569,20K,62.5%,625_71
1.873,20K,62.5%,625_72
1.989,20K,62.5%,625_73
2.144,20K,62.5%,625_74
2.549,20K,62.5%,625_75
2.792,20K,62.5%,625_76
2.587,20K,62.5%,625_77
2.167,20K,62.5%,625_78
2.86,20K,62.5%,625_79
2.218,20K,62.5%,625_80
2.2,20K,62.5%,625_81
2.141,20K,62.5%,625_82
1.821,20K,62.5%,625_83
3.213,20K,62.5%,625_84
3.01,20K,62.5%,625_85
4.699,20K,62.5%,625_86
4.51,20K,62.5%,625_87
2.415,20K,62.5%,625_88
2.073,20K,62.5%,625_89
3.399,20K,62.5%,625_90
1.933,20K,62.5%,625_91
3.424,20K,62.5%,625_92
2.593,20K,62.5%,625_93
2.438,20K,62.5%,625_94
2.73,20K,62.5%,625_95
3.144,20K,62.5%,625_96
2.886,20K,62.5%,625_97
2.369,20K,62.5%,625_98
4.243,20K,62.5%,625_99
2.585,20K,75%,750_0
3.327,20K,75%,750_1
2.041,20K,75%,750_2
4.132,20K,75%,750_3
3.914,20K,75%,750_4
3.905,20K,75%,750_5
3.131,20K,75%,750_6
9.706,20K,75%,750_7
3.28,20K,75%,750_8
3.391,20K,75%,750_9
3.939,20K,75%,750_10
2.805,20K,75%,750_11
2.646,20K,75%,750_12
2.938,20K,75%,750_13
4.327,20K,75%,750_14
4.244,20K,75%,750_15
3.105,20K,75%,750_16
3.241,20K,75%,750_17
3.168,20K,75%,750_18
2.828,20K,75%,750_19
3.119,20K,75%,750_20
5.244,20K,75%,750_21
3.056,20K,75%,750_22
2.908,20K,75%,750_23
3.123,20K,75%,750_24
2.219,20K,75%,750_25
2.887,20K,75%,750_26
3.081,20K,75%,750_27
3.49,20K,75%,750_28
2.352,20K,75%,750_29
3.165,20K,75%,750_30
2.88,20K,75%,750_31
3.491,20K,75%,750_32
2.611,20K,75%,750_33
2.462,20K,75%,750_34
3.427,20K,75%,750_35
3.366,20K,75%,750_36
3.156,20K,75%,750_37
3.582,20K,75%,750_38
2.813,20K,75%,750_39
3.683,20K,75%,750_40
3.509,20K,75%,750_41
3.235,20K,75%,750_42
3.018,20K,75%,750_43
2.992,20K,75%,750_44
2.744,20K,75%,750_45
3.211,20K,75%,750_46
3.042,20K,75%,750_47
2.863,20K,75%,750_48
2.909,20K,75%,750_49
2.922,20K,75%,750_50
3.275,20K,75%,750_51
3.312,20K,75%,750_52
2.715,20K,75%,750_53
4.239,20K,75%,750_54
3.876,20K,75%,750_55
3.772,20K,75%,750_56
2.887,20K,75%,750_57
2.858,20K,75%,750_58
3.729,20K,75%,750_59
2.133,20K,75%,750_60
3.517,20K,75%,750_61
3.351,20K,75%,750_62
3.223,20K,75%,750_63
4.52,20K,75%,750_64
2.209,20K,75%,750_65
3.321,20K,75%,750_66
4.025,20K,75%,750_67
3.414,20K,75%,750_68
2.732,20K,75%,750_69
2.952,20K,75%,750_70
3.435,20K,75%,750_71
2.783,20K,75%,750_72
2.956,20K,75%,750_73
3.205,20K,75%,750_74
6.137,20K,75%,750_75
2.67,20K,75%,750_76
3.385,20K,75%,750_77
2.448,20K,75%,750_78
3.23,20K,75%,750_79
3.411,20K,75%,750_80
4.2,20K,75%,750_81
3.879,20K,75%,750_82
4.03,20K,75%,750_83
2.601,20K,75%,750_84
3.78,20K,75%,750_85
2.794,20K,75%,750_86
2.856,20K,75%,750_87
4.545,20K,75%,750_88
2.913,20K,75%,750_89
2.967,20K,75%,750_90
2.719,20K,75%,750_91
3.897,20K,75%,750_92
2.932,20K,75%,750_93
2.409,20K,75%,750_94
2.912,20K,75%,750_95
3.566,20K,75%,750_96
3.002,20K,75%,750_97
3.701,20K,75%,750_98
2.823,20K,75%,750_99
4.346,20K,87.5%,875_0
5.27,20K,87.5%,875_1
3.585,20K,87.5%,875_2
3.362,20K,87.5%,875_3
2.626,20K,87.5%,875_4
2.91,20K,87.5%,875_5
3.046,20K,87.5%,875_6
4.311,20K,87.5%,875_7
4.896,20K,87.5%,875_8
6.24,20K,87.5%,875_9
3.289,20K,87.5%,875_10
3.454,20K,87.5%,875_11
3.73,20K,87.5%,875_12
2.903,20K,87.5%,875_13
4.317,20K,87.5%,875_14
4.408,20K,87.5%,875_15
4.642,20K,87.5%,875_16
3.589,20K,87.5%,875_17
3.601,20K,87.5%,875_18
4.239,20K,87.5%,875_19
2.603,20K,87.5%,875_20
4.78,20K,87.5%,875_21
3.532,20K,87.5%,875_22
3.74,20K,87.5%,875_23
3.26,20K,87.5%,875_24
4.021,20K,87.5%,875_25
3.382,20K,87.5%,875_26
2.879,20K,87.5%,875_27
4.105,20K,87.5%,875_28
3.683,20K,87.5%,875_29
3.52,20K,87.5%,875_30
3.155,20K,87.5%,875_31
2.191,20K,87.5%,875_32
3.233,20K,87.5%,875_33
4.1,20K,87.5%,875_34
3.765,20K,87.5%,875_35
7.397,20K,87.5%,875_36
3.276,20K,87.5%,875_37
3.051,20K,87.5%,875_38
2.768,20K,87.5%,875_39
3.304,20K,87.5%,875_40
3.712,20K,87.5%,875_41
3.682,20K,87.5%,875_42
3.356,20K,87.5%,875_43
3.297,20K,87.5%,875_44
3.236,20K,87.5%,875_45
3.367,20K,87.5%,875_46
4.629,20K,87.5%,875_47
5.526,20K,87.5%,875_48
3.535,20K,87.5%,875_49
4.301,20K,87.5%,875_50
3.002,20K,87.5%,875_51
3.109,20K,87.5%,875_52
3.931,20K,87.5%,875_53
3.598,20K,87.5%,875_54
4.549,20K,87.5%,875_55
2.618,20K,87.5%,875_56
3.519,20K,87.5%,875_57
3.192,20K,87.5%,875_58
3.877,20K,87.5%,875_59
4.133,20K,87.5%,875_60
3.416,20K,87.5%,875_61
